---------------------------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations UserCounters...
---------------------------------------------------------------------------------------------------------
9b034f1b_CifarDense_schedule_001/iterations:10        375 ms         1.85 ms           10 avg_time_per_task=18.7322
9b034f1b_CifarDense_schedule_002/iterations:10        334 ms         1.61 ms           10 avg_time_per_task=16.695
9b034f1b_CifarDense_schedule_003/iterations:10        471 ms         1.84 ms           10 avg_time_per_task=23.5344
9b034f1b_CifarDense_schedule_004/iterations:10        433 ms         1.33 ms           10 avg_time_per_task=21.6396
9b034f1b_CifarDense_schedule_005/iterations:10        465 ms         1.76 ms           10 avg_time_per_task=23.2411
9b034f1b_CifarDense_schedule_006/iterations:10        354 ms         1.39 ms           10 avg_time_per_task=17.6897
9b034f1b_CifarDense_schedule_007/iterations:10        483 ms         1.75 ms           10 avg_time_per_task=24.1602
9b034f1b_CifarDense_schedule_008/iterations:10        444 ms         1.42 ms           10 avg_time_per_task=22.2106
9b034f1b_CifarDense_schedule_009/iterations:10        336 ms        0.711 ms           10 avg_time_per_task=16.8167
9b034f1b_CifarDense_schedule_010/iterations:10        345 ms        0.975 ms           10 avg_time_per_task=17.2672
9b034f1b_CifarDense_schedule_011/iterations:10        445 ms        0.838 ms           10 avg_time_per_task=22.2379
9b034f1b_CifarDense_schedule_012/iterations:10        515 ms         1.05 ms           10 avg_time_per_task=25.7486
9b034f1b_CifarDense_schedule_013/iterations:10        448 ms        0.977 ms           10 avg_time_per_task=22.3857
9b034f1b_CifarDense_schedule_014/iterations:10        517 ms         1.19 ms           10 avg_time_per_task=25.8263
9b034f1b_CifarDense_schedule_015/iterations:10        466 ms         1.09 ms           10 avg_time_per_task=23.2853
9b034f1b_CifarDense_schedule_016/iterations:10        535 ms         1.15 ms           10 avg_time_per_task=26.7361
9b034f1b_CifarDense_schedule_017/iterations:10        470 ms        0.968 ms           10 avg_time_per_task=23.474
9b034f1b_CifarDense_schedule_018/iterations:10        534 ms        0.985 ms           10 avg_time_per_task=26.6737
9b034f1b_CifarDense_schedule_019/iterations:10        566 ms         1.74 ms           10 avg_time_per_task=28.3035
9b034f1b_CifarDense_schedule_020/iterations:10        572 ms         1.71 ms           10 avg_time_per_task=28.5854
9b034f1b_CifarDense_schedule_021/iterations:10        563 ms         1.39 ms           10 avg_time_per_task=28.1344
9b034f1b_CifarDense_schedule_022/iterations:10        575 ms         1.46 ms           10 avg_time_per_task=28.741
9b034f1b_CifarDense_schedule_023/iterations:10        563 ms         1.38 ms           10 avg_time_per_task=28.1318
9b034f1b_CifarDense_schedule_024/iterations:10        577 ms         1.36 ms           10 avg_time_per_task=28.8607
9b034f1b_CifarDense_schedule_025/iterations:10        585 ms         1.34 ms           10 avg_time_per_task=29.2275
9b034f1b_CifarDense_schedule_026/iterations:10        597 ms         1.39 ms           10 avg_time_per_task=29.8499
9b034f1b_CifarDense_schedule_027/iterations:10        583 ms         1.40 ms           10 avg_time_per_task=29.1481
9b034f1b_CifarDense_schedule_028/iterations:10        595 ms         1.49 ms           10 avg_time_per_task=29.7403
9b034f1b_CifarDense_schedule_029/iterations:10        616 ms        0.960 ms           10 avg_time_per_task=30.813
9b034f1b_CifarDense_schedule_030/iterations:10        720 ms         2.09 ms           10 avg_time_per_task=35.9899
9b034f1b_CifarDense_schedule_031/iterations:10        720 ms         2.07 ms           10 avg_time_per_task=36.0097
9b034f1b_CifarDense_schedule_032/iterations:10        722 ms         2.09 ms           10 avg_time_per_task=36.0812
9b034f1b_CifarDense_schedule_033/iterations:10        729 ms         2.09 ms           10 avg_time_per_task=36.4346
9b034f1b_CifarDense_schedule_034/iterations:10        761 ms         1.71 ms           10 avg_time_per_task=38.066
9b034f1b_CifarDense_schedule_035/iterations:10        751 ms         1.25 ms           10 avg_time_per_task=37.534
9b034f1b_CifarDense_schedule_036/iterations:10        758 ms         1.10 ms           10 avg_time_per_task=37.8874
9b034f1b_CifarDense_schedule_037/iterations:10        766 ms         1.69 ms           10 avg_time_per_task=38.2718
9b034f1b_CifarDense_schedule_038/iterations:10        763 ms         1.61 ms           10 avg_time_per_task=38.1422
9b034f1b_CifarDense_schedule_039/iterations:10        759 ms         1.25 ms           10 avg_time_per_task=37.9507
9b034f1b_CifarDense_schedule_040/iterations:10        918 ms         1.24 ms           10 avg_time_per_task=45.9123
9b034f1b_CifarDense_schedule_041/iterations:10        765 ms         1.65 ms           10 avg_time_per_task=38.2552
9b034f1b_CifarDense_schedule_042/iterations:10        767 ms         1.68 ms           10 avg_time_per_task=38.358
9b034f1b_CifarDense_schedule_043/iterations:10        959 ms         1.37 ms           10 avg_time_per_task=47.9368
9b034f1b_CifarDense_schedule_044/iterations:10        955 ms         1.46 ms           10 avg_time_per_task=47.7294
9b034f1b_CifarDense_schedule_045/iterations:10        964 ms         2.00 ms           10 avg_time_per_task=48.1827
9b034f1b_CifarDense_schedule_046/iterations:10        983 ms         1.96 ms           10 avg_time_per_task=49.1313
9b034f1b_CifarDense_schedule_047/iterations:10        962 ms         1.65 ms           10 avg_time_per_task=48.1062
9b034f1b_CifarDense_schedule_048/iterations:10        964 ms         1.61 ms           10 avg_time_per_task=48.1892
9b034f1b_CifarDense_schedule_049/iterations:10       1154 ms         2.08 ms           10 avg_time_per_task=57.6805
9b034f1b_CifarDense_schedule_050/iterations:10       1156 ms         2.03 ms           10 avg_time_per_task=57.7759
