----------------------------------------------------------------------------------------------------------
Benchmark                                                Time             CPU   Iterations UserCounters...
----------------------------------------------------------------------------------------------------------
9b034f1b_CifarSparse_schedule_001/iterations:10       96.5 ms         1.19 ms           10 avg_time_per_task=4.82119
9b034f1b_CifarSparse_schedule_002/iterations:10       95.1 ms        0.842 ms           10 avg_time_per_task=4.75511
9b034f1b_CifarSparse_schedule_003/iterations:10        100 ms         1.03 ms           10 avg_time_per_task=5.00941
9b034f1b_CifarSparse_schedule_004/iterations:10        104 ms         1.11 ms           10 avg_time_per_task=5.1948
9b034f1b_CifarSparse_schedule_005/iterations:10       91.6 ms         1.13 ms           10 avg_time_per_task=4.58112
9b034f1b_CifarSparse_schedule_006/iterations:10       97.0 ms        0.793 ms           10 avg_time_per_task=4.85012
9b034f1b_CifarSparse_schedule_007/iterations:10       91.2 ms         1.08 ms           10 avg_time_per_task=4.5585
9b034f1b_CifarSparse_schedule_008/iterations:10       92.1 ms         1.30 ms           10 avg_time_per_task=4.60045
9b034f1b_CifarSparse_schedule_009/iterations:10       79.1 ms         1.01 ms           10 avg_time_per_task=3.95258
9b034f1b_CifarSparse_schedule_010/iterations:10       84.9 ms         1.19 ms           10 avg_time_per_task=4.244
9b034f1b_CifarSparse_schedule_011/iterations:10       98.9 ms         1.05 ms           10 avg_time_per_task=4.94588
9b034f1b_CifarSparse_schedule_012/iterations:10        115 ms         1.17 ms           10 avg_time_per_task=5.7257
9b034f1b_CifarSparse_schedule_013/iterations:10        112 ms         1.15 ms           10 avg_time_per_task=5.61224
9b034f1b_CifarSparse_schedule_014/iterations:10       97.1 ms         1.08 ms           10 avg_time_per_task=4.85083
9b034f1b_CifarSparse_schedule_015/iterations:10        112 ms        0.846 ms           10 avg_time_per_task=5.5775
9b034f1b_CifarSparse_schedule_016/iterations:10        111 ms        0.693 ms           10 avg_time_per_task=5.54146
9b034f1b_CifarSparse_schedule_017/iterations:10        111 ms        0.618 ms           10 avg_time_per_task=5.54704
9b034f1b_CifarSparse_schedule_018/iterations:10        111 ms        0.775 ms           10 avg_time_per_task=5.5569
9b034f1b_CifarSparse_schedule_019/iterations:10        108 ms        0.661 ms           10 avg_time_per_task=5.39155
9b034f1b_CifarSparse_schedule_020/iterations:10       71.8 ms         1.08 ms           10 avg_time_per_task=3.58707
9b034f1b_CifarSparse_schedule_021/iterations:10       95.0 ms        0.720 ms           10 avg_time_per_task=4.74819
9b034f1b_CifarSparse_schedule_022/iterations:10        114 ms         1.15 ms           10 avg_time_per_task=5.71505
9b034f1b_CifarSparse_schedule_023/iterations:10        126 ms         1.19 ms           10 avg_time_per_task=6.29325
9b034f1b_CifarSparse_schedule_024/iterations:10        127 ms         1.29 ms           10 avg_time_per_task=6.36141
9b034f1b_CifarSparse_schedule_025/iterations:10       96.9 ms        0.787 ms           10 avg_time_per_task=4.84119
9b034f1b_CifarSparse_schedule_026/iterations:10        122 ms         1.20 ms           10 avg_time_per_task=6.11253
9b034f1b_CifarSparse_schedule_027/iterations:10        125 ms         1.17 ms           10 avg_time_per_task=6.2281
9b034f1b_CifarSparse_schedule_028/iterations:10       73.8 ms         1.04 ms           10 avg_time_per_task=3.68725
9b034f1b_CifarSparse_schedule_029/iterations:10       90.9 ms         1.06 ms           10 avg_time_per_task=4.54504
9b034f1b_CifarSparse_schedule_030/iterations:10       78.7 ms         1.10 ms           10 avg_time_per_task=3.9307
9b034f1b_CifarSparse_schedule_031/iterations:10       75.3 ms        0.801 ms           10 avg_time_per_task=3.76502
9b034f1b_CifarSparse_schedule_032/iterations:10       99.0 ms         1.08 ms           10 avg_time_per_task=4.94767
9b034f1b_CifarSparse_schedule_033/iterations:10       75.6 ms         1.08 ms           10 avg_time_per_task=3.77611
9b034f1b_CifarSparse_schedule_034/iterations:10       73.8 ms        0.904 ms           10 avg_time_per_task=3.69068
9b034f1b_CifarSparse_schedule_035/iterations:10        119 ms         1.08 ms           10 avg_time_per_task=5.96721
9b034f1b_CifarSparse_schedule_036/iterations:10        119 ms         1.08 ms           10 avg_time_per_task=5.93378
9b034f1b_CifarSparse_schedule_037/iterations:10        114 ms         1.03 ms           10 avg_time_per_task=5.70747
9b034f1b_CifarSparse_schedule_038/iterations:10        105 ms        0.781 ms           10 avg_time_per_task=5.22643
9b034f1b_CifarSparse_schedule_039/iterations:10        101 ms        0.785 ms           10 avg_time_per_task=5.07008
9b034f1b_CifarSparse_schedule_040/iterations:10        100 ms        0.924 ms           10 avg_time_per_task=5.00846
9b034f1b_CifarSparse_schedule_041/iterations:10       99.0 ms        0.667 ms           10 avg_time_per_task=4.94534
9b034f1b_CifarSparse_schedule_042/iterations:10        101 ms        0.756 ms           10 avg_time_per_task=5.05318
9b034f1b_CifarSparse_schedule_043/iterations:10       92.3 ms        0.817 ms           10 avg_time_per_task=4.61507
9b034f1b_CifarSparse_schedule_044/iterations:10        101 ms        0.755 ms           10 avg_time_per_task=5.04021
9b034f1b_CifarSparse_schedule_045/iterations:10       65.4 ms        0.917 ms           10 avg_time_per_task=3.26613
9b034f1b_CifarSparse_schedule_046/iterations:10        134 ms         1.45 ms           10 avg_time_per_task=6.68355
9b034f1b_CifarSparse_schedule_047/iterations:10        143 ms        0.869 ms           10 avg_time_per_task=7.13021
9b034f1b_CifarSparse_schedule_048/iterations:10       81.9 ms        0.787 ms           10 avg_time_per_task=4.09295
9b034f1b_CifarSparse_schedule_049/iterations:10       83.2 ms        0.878 ms           10 avg_time_per_task=4.16039
9b034f1b_CifarSparse_schedule_050/iterations:10       82.6 ms        0.897 ms           10 avg_time_per_task=4.12938
